ordernumber,quantityordered,priceeach,orderlinenumber,sales,status,qtr_id,month_id,year_id,productline,msrp,productcode,customername,phone,addressline1,addressline2,city,state,postalcode,country,territory,contactlastname,contactfirstname,dealsize,order_date
10251,28,100,2,3188.64,Shipped,2,5,2004,Motorcycles,95,S10_1678,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,Not Provided,Newark,NJ,94019,USA,Unknown,Brown,William,Medium,5/18/2004
10263,34,100,2,3676.76,Shipped,2,6,2004,Motorcycles,95,S10_1678,Gift Depot Inc.,2035552570,25593 South Bay Ln.,Not Provided,Bridgewater,CT,97562,USA,Unknown,King,Julie,Medium,6/28/2004
10275,45,92.83,1,4177.35,Shipped,3,7,2004,Motorcycles,95,S10_1678,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",Not Provided,Nantes,CA,44000,France,EMEA,Labrune,Janine,Medium,7/23/2004
10285,36,100,6,4099.68,Shipped,3,8,2004,Motorcycles,95,S10_1678,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,Not Provided,Cambridge,MA,51247,USA,Unknown,Hernandez,Marta,Medium,8/27/2004
10299,23,100,9,2597.39,Shipped,3,9,2004,Motorcycles,95,S10_1678,"Toys of Finland, Co.",90-224 8555,Keskuskatu 45,Not Provided,Helsinki,CA,21240,Finland,EMEA,Karttunen,Matti,Small,9/30/2004
10309,41,100,5,4394.38,Shipped,4,10,2004,Motorcycles,95,S10_1678,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,Not Provided,Stavern,CA,4110,Norway,EMEA,Bergulfsen,Jonas,Medium,10/15/2004
10318,46,94.74,1,4358.04,Shipped,4,11,2004,Motorcycles,95,S10_1678,Diecast Classics Inc.,2155551555,7586 Pompton St.,Not Provided,Allentown,PA,70267,USA,Unknown,Yu,Kyung,Medium,11/2/2004
10329,42,100,1,4396.14,Shipped,4,11,2004,Motorcycles,95,S10_1678,Land of Toys Inc.,2125557818,897 Long Airport Avenue,Not Provided,NYC,NY,10022,USA,Unknown,Yu,Kwai,Medium,11/15/2004
10341,41,100,9,7737.93,Shipped,4,11,2004,Motorcycles,95,S10_1678,Salzburg Collectables,6562-9555,Geislweg 14,Not Provided,Salzburg,CA,5020,Austria,EMEA,Pipps,Georg,Large,11/24/2004
10361,20,72.55,13,1451,Shipped,4,12,2004,Motorcycles,95,S10_1678,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,Small,12/17/2004
10375,21,34.91,12,733.11,Shipped,1,2,2005,Motorcycles,95,S10_1678,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",Not Provided,Nantes,CA,44000,France,EMEA,Labrune,Janine,Small,2/3/2005
10388,42,76.36,4,3207.12,Shipped,1,3,2005,Motorcycles,95,S10_1678,FunGiftIdeas.com,5085552555,1785 First Street,Not Provided,New Bedford,MA,50553,USA,Unknown,Benitez,Violeta,Medium,3/3/2005
10403,24,100,7,2434.56,Shipped,2,4,2005,Motorcycles,95,S10_1678,"UK Collectables, Ltd.",(171) 555-2282,Berkeley Gardens 12  Brewery,Not Provided,Liverpool,CA,WX1 6LT,UK,EMEA,Devon,Elizabeth,Small,4/8/2005
10417,66,100,2,7516.08,Disputed,2,5,2005,Motorcycles,95,S10_1678,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Not Provided,Madrid,CA,28034,Spain,EMEA,Freyre,Diego,Large,5/13/2005
10103,26,100,11,5404.62,Shipped,1,1,2003,Classic Cars,214,S10_1949,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,Not Provided,Stavern,CA,4110,Norway,EMEA,Bergulfsen,Jonas,Medium,1/29/2003
10112,29,100,1,7209.11,Shipped,1,3,2003,Classic Cars,214,S10_1949,"Volvo Model Replicas, Co",0921-12 3555,BerguvsvÂ„gen  8,Not Provided,Lule,CA,S-958 22,Sweden,EMEA,Berglund,Christina,Large,3/24/2003
10126,38,100,11,7329.06,Shipped,2,5,2003,Classic Cars,214,S10_1949,"Corrida Auto Replicas, Ltd",(91) 555 22 82,"C/ Araquil, 67",Not Provided,Madrid,CA,28023,Spain,EMEA,Sommer,MartÂ¡n,Large,5/28/2003
10140,37,100,11,7374.1,Shipped,3,7,2003,Classic Cars,214,S10_1949,Technics Stores Inc.,6505556809,9408 Furth Circle,Not Provided,Burlingame,CA,94217,USA,Unknown,Hirano,Juri,Large,7/24/2003
10150,45,100,8,10993.5,Shipped,3,9,2003,Classic Cars,214,S10_1949,"Dragon Souveniers, Ltd.",+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Not Provided,Singapore,CA,79903,Singapore,Japan,Natividad,Eric,Large,9/19/2003
10163,21,100,1,4860.24,Shipped,4,10,2003,Classic Cars,214,S10_1949,Classic Legends Inc.,2125558493,5905 Pompton St.,Suite 750,NYC,NY,10022,USA,Unknown,Hernandez,Maria,Medium,10/20/2003
10174,34,100,4,8014.82,Shipped,4,11,2003,Classic Cars,214,S10_1949,"Australian Gift Network, Co",61-7-3844-6555,31 Duncan St. West End,Not Provided,South Brisbane,Queensland,4101,Australia,APAC,Calaghan,Tony,Large,11/6/2003
10183,23,100,8,5372.57,Shipped,4,11,2003,Classic Cars,214,S10_1949,"Classic Gift Ideas, Inc",2155554695,782 First Street,Not Provided,Philadelphia,PA,71270,USA,Unknown,Cervantes,Francisca,Medium,11/13/2003
10194,42,100,11,7290.36,Shipped,4,11,2003,Classic Cars,214,S10_1949,"Saveley & Henriot, Co.",78.32.5555,"2, rue du Commerce",Not Provided,Lyon,CA,69004,France,EMEA,Saveley,Mary,Large,11/25/2003
10206,47,100,6,9064.89,Shipped,4,12,2003,Classic Cars,214,S10_1949,Canadian Gift Exchange Network,(604) 555-3392,1900 Oak St.,Not Provided,Vancouver,BC,V3F 2K1,Canada,Unknown,Tannamuri,Yoshi,Large,12/5/2003
10215,35,100,3,6075.3,Shipped,1,1,2004,Classic Cars,214,S10_1949,West Coast Collectables Co.,3105553722,3675 Furth Circle,Not Provided,Burbank,CA,94019,USA,Unknown,Thompson,Steve,Medium,1/29/2004
10228,29,100,2,6463.23,Shipped,1,3,2004,Classic Cars,214,S10_1949,Cambridge Collectables Co.,6175555555,4658 Baden Av.,Not Provided,Cambridge,MA,51247,USA,Unknown,Tseng,Kyung,Medium,3/10/2004
10245,34,100,9,6120.34,Shipped,2,5,2004,Classic Cars,214,S10_1949,Super Scale Inc.,2035559545,567 North Pendale Street,Not Provided,New Haven,CT,97823,USA,Unknown,Murphy,Leslie,Medium,5/4/2004
10258,32,100,6,7680.64,Shipped,2,6,2004,Classic Cars,214,S10_1949,"Tokyo Collectables, Ltd",+81 3 3584 0555,2-2-8 Roppongi,Not Provided,Minato-ku,Tokyo,106-0032,Japan,Japan,Shimamura,Akiko,Large,6/15/2004
10270,21,100,9,4905.39,Shipped,3,7,2004,Classic Cars,214,S10_1949,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,Medium,7/19/2004
10280,34,100,2,8014.82,Shipped,3,8,2004,Classic Cars,214,S10_1949,Amica Models & Co.,011-4988555,Via Monte Bianco 34,Not Provided,Torino,CA,10100,Italy,EMEA,Accorti,Paolo,Large,8/17/2004
10291,37,100,11,7136.19,Shipped,3,9,2004,Classic Cars,214,S10_1949,Scandinavian Gift Ideas,0695-34 6555,?kergatan 24,Not Provided,Boras,CA,S-844 67,Sweden,EMEA,Larsson,Maria,Large,9/8/2004
10304,47,100,6,10172.7,Shipped,4,10,2004,Classic Cars,214,S10_1949,Auto Assoc. & Cie.,30.59.8555,"67, avenue de l'Europe",Not Provided,Versailles,CA,78000,France,EMEA,Tonini,Daniel,Large,10/11/2004
10312,48,100,3,11623.7,Shipped,4,10,2004,Classic Cars,214,S10_1949,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,Not Provided,San Rafael,CA,97562,USA,Unknown,Nelson,Valarie,Large,10/21/2004
10322,40,100,1,6000.4,Shipped,4,11,2004,Classic Cars,214,S10_1949,Online Diecast Creations Co.,6035558647,2304 Long Airport Avenue,Not Provided,Nashua,NH,62005,USA,Unknown,Young,Valarie,Medium,11/4/2004
10333,26,100,3,3003,Shipped,4,11,2004,Classic Cars,214,S10_1949,Mini Wheels Co.,6505555787,5557 North Pendale Street,Not Provided,San Francisco,CA,,USA,Unknown,Murphy,Julie,Medium,11/18/2004
10347,30,100,1,3944.7,Shipped,4,11,2004,Classic Cars,214,S10_1949,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Medium,11/29/2004
10357,32,100,10,5691.84,Shipped,4,12,2004,Classic Cars,214,S10_1949,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,Not Provided,San Rafael,CA,97562,USA,Unknown,Nelson,Valarie,Medium,12/10/2004
10369,41,100,2,4514.92,Shipped,1,1,2005,Classic Cars,214,S10_1949,Collectables For Less Inc.,6175558555,7825 Douglas Av.,Not Provided,Brickhaven,MA,58339,USA,Unknown,Nelson,Allen,Medium,1/20/2005
10381,36,100,3,8254.8,Shipped,1,2,2005,Classic Cars,214,S10_1949,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,Not Provided,San Francisco,CA,,USA,Unknown,Brown,Julie,Large,2/17/2005
10391,24,100,4,2416.56,Shipped,1,3,2005,Classic Cars,214,S10_1949,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,Level 15,North Sydney,NSW,2060,Australia,APAC,O'Hara,Anna,Small,3/9/2005
10411,23,100,9,4140.23,Shipped,2,5,2005,Classic Cars,214,S10_1949,Quebec Home Shopping Network,(514) 555-8054,43 rue St. Laurent,Not Provided,Montreal,Quebec,H1J 1C3,Canada,Unknown,Fresnisre,Jean,Medium,5/1/2005
10424,50,100,6,12001,In Process,2,5,2005,Classic Cars,214,S10_1949,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Not Provided,Madrid,CA,28034,Spain,EMEA,Freyre,Diego,Large,5/31/2005
10107,39,99.91,5,3896.49,Shipped,1,2,2003,Motorcycles,118,S10_2016,Land of Toys Inc.,2125557818,897 Long Airport Avenue,Not Provided,NYC,NY,10022,USA,Unknown,Yu,Kwai,Medium,2/24/2003
10120,29,96.34,3,2793.86,Shipped,2,4,2003,Motorcycles,118,S10_2016,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Small,4/29/2003
10134,27,100,5,3307.77,Shipped,3,7,2003,Motorcycles,118,S10_2016,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,Not Provided,Paris,CA,75508,France,EMEA,Da Cunha,Daniel,Medium,7/1/2003
10145,37,100,9,5192.95,Shipped,3,8,2003,Motorcycles,118,S10_2016,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,Not Provided,Pasadena,CA,90003,USA,Unknown,Young,Julie,Medium,8/25/2003
10159,37,100,17,5016.83,Shipped,4,10,2003,Motorcycles,118,S10_2016,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,Not Provided,San Francisco,CA,,USA,Unknown,Brown,Julie,Medium,10/10/2003
10168,27,100,4,3660.93,Shipped,4,10,2003,Motorcycles,118,S10_2016,Technics Stores Inc.,6505556809,9408 Furth Circle,Not Provided,Burlingame,CA,94217,USA,Unknown,Hirano,Juri,Medium,10/28/2003
10180,42,100,12,4695.6,Shipped,4,11,2003,Motorcycles,118,S10_2016,Daedalus Designs Imports,20.16.1555,"184, chausse de Tournai",Not Provided,Lille,CA,59000,France,EMEA,Rance,Martine,Medium,11/11/2003
10188,38,96.34,4,3660.92,Shipped,4,11,2003,Motorcycles,118,S10_2016,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",Not Provided,Bergen,CA,N 5804,Norway,EMEA,Oeztan,Veysel,Medium,11/18/2003
10201,24,100,5,3025.92,Shipped,4,12,2003,Motorcycles,118,S10_2016,Mini Wheels Co.,6505555787,5557 North Pendale Street,Not Provided,San Francisco,CA,,USA,Unknown,Murphy,Julie,Medium,12/1/2003
10210,23,100,2,3009.09,Shipped,1,1,2004,Motorcycles,118,S10_2016,Osaka Souveniers Co.,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",Not Provided,Osaka,Osaka,530-0003,Japan,Japan,Kentary,Mory,Medium,1/12/2004
10223,47,100,4,5422.39,Shipped,1,2,2004,Motorcycles,118,S10_2016,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Medium,2/20/2004
10236,22,100,1,2852.08,Shipped,2,4,2004,Motorcycles,118,S10_2016,Motor Mint Distributors Inc.,2155559857,11328 Douglas Av.,Not Provided,Philadelphia,PA,71270,USA,Unknown,Hernandez,Rosa,Small,4/3/2004
10251,44,100,5,5756.52,Shipped,2,5,2004,Motorcycles,118,S10_2016,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,Not Provided,Newark,NJ,94019,USA,Unknown,Brown,William,Medium,5/18/2004
10263,40,100,5,4472,Shipped,2,6,2004,Motorcycles,118,S10_2016,Gift Depot Inc.,2035552570,25593 South Bay Ln.,Not Provided,Bridgewater,CT,97562,USA,Unknown,King,Julie,Medium,6/28/2004
10275,22,100,4,2904.44,Shipped,3,7,2004,Motorcycles,118,S10_2016,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",Not Provided,Nantes,CA,44000,France,EMEA,Labrune,Janine,Small,7/23/2004
10285,47,100,9,6484.59,Shipped,3,8,2004,Motorcycles,118,S10_2016,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,Not Provided,Cambridge,MA,51247,USA,Unknown,Hernandez,Marta,Medium,8/27/2004
10298,39,96.34,1,3757.26,Shipped,3,9,2004,Motorcycles,118,S10_2016,Atelier graphique,40.32.2555,"54, rue Royale",Not Provided,Nantes,CA,44000,France,EMEA,Schmitt,Carine,Medium,9/27/2004
10308,34,100,2,4043.96,Shipped,4,10,2004,Motorcycles,118,S10_2016,Mini Classics,9145554562,3758 North Pendale Street,Not Provided,White Plains,NY,24067,USA,Unknown,Frick,Steve,Medium,10/15/2004
10318,45,100,4,5566.5,Shipped,4,11,2004,Motorcycles,118,S10_2016,Diecast Classics Inc.,2155551555,7586 Pompton St.,Not Provided,Allentown,PA,70267,USA,Unknown,Yu,Kyung,Medium,11/2/2004
10329,20,100,2,3176,Shipped,4,11,2004,Motorcycles,118,S10_2016,Land of Toys Inc.,2125557818,897 Long Airport Avenue,Not Provided,NYC,NY,10022,USA,Unknown,Yu,Kwai,Medium,11/15/2004
10339,40,68.92,4,2756.8,Shipped,4,11,2004,Motorcycles,118,S10_2016,"Tokyo Collectables, Ltd",+81 3 3584 0555,2-2-8 Roppongi,Not Provided,Minato-ku,Tokyo,106-0032,Japan,Japan,Shimamura,Akiko,Small,11/23/2004
10361,26,51.15,8,1329.9,Shipped,4,12,2004,Motorcycles,118,S10_2016,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,Small,12/17/2004
10374,39,100,5,5288.01,Shipped,1,2,2005,Motorcycles,118,S10_2016,"Australian Gift Network, Co",61-7-3844-6555,31 Duncan St. West End,Not Provided,South Brisbane,Queensland,4101,Australia,APAC,Calaghan,Tony,Medium,2/2/2005
10388,50,44.51,5,2225.5,Shipped,1,3,2005,Motorcycles,118,S10_2016,FunGiftIdeas.com,5085552555,1785 First Street,Not Provided,New Bedford,MA,50553,USA,Unknown,Benitez,Violeta,Small,3/3/2005
10402,45,100,1,5833.8,Shipped,2,4,2005,Motorcycles,118,S10_2016,Auto Canal Petit,(1) 47.55.6555,"25, rue Lauriston",Not Provided,Paris,CA,75016,France,EMEA,Perrier,Dominique,Medium,4/7/2005
10417,45,100,5,5887.35,Disputed,2,5,2005,Motorcycles,118,S10_2016,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Not Provided,Madrid,CA,28034,Spain,EMEA,Freyre,Diego,Medium,5/13/2005
10107,27,100,4,6065.55,Shipped,1,2,2003,Motorcycles,193,S10_4698,Land of Toys Inc.,2125557818,897 Long Airport Avenue,Not Provided,NYC,NY,10022,USA,Unknown,Yu,Kwai,Medium,2/24/2003
10120,46,100,2,9264.86,Shipped,2,4,2003,Motorcycles,193,S10_4698,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Large,4/29/2003
10134,31,100,4,7023.98,Shipped,3,7,2003,Motorcycles,193,S10_4698,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,Not Provided,Paris,CA,75508,France,EMEA,Da Cunha,Daniel,Large,7/1/2003
10145,33,100,8,5176.38,Shipped,3,8,2003,Motorcycles,193,S10_4698,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,Not Provided,Pasadena,CA,90003,USA,Unknown,Young,Julie,Medium,8/25/2003
10159,22,100,16,4132.7,Shipped,4,10,2003,Motorcycles,193,S10_4698,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,Not Provided,San Francisco,CA,,USA,Unknown,Brown,Julie,Medium,10/10/2003
10168,20,100,3,4183,Shipped,4,10,2003,Motorcycles,193,S10_4698,Technics Stores Inc.,6505556809,9408 Furth Circle,Not Provided,Burlingame,CA,94217,USA,Unknown,Hirano,Juri,Medium,10/28/2003
10180,41,100,11,8892.9,Shipped,4,11,2003,Motorcycles,193,S10_4698,Daedalus Designs Imports,20.16.1555,"184, chausse de Tournai",Not Provided,Lille,CA,59000,France,EMEA,Rance,Martine,Large,11/11/2003
10188,45,100,3,8714.7,Shipped,4,11,2003,Motorcycles,193,S10_4698,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",Not Provided,Bergen,CA,N 5804,Norway,EMEA,Oeztan,Veysel,Large,11/18/2003
10201,49,100,4,8065.89,Shipped,4,12,2003,Motorcycles,193,S10_4698,Mini Wheels Co.,6505555787,5557 North Pendale Street,Not Provided,San Francisco,CA,,USA,Unknown,Murphy,Julie,Large,12/1/2003
10210,34,100,1,6123.4,Shipped,1,1,2004,Motorcycles,193,S10_4698,Osaka Souveniers Co.,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",Not Provided,Osaka,Osaka,530-0003,Japan,Japan,Kentary,Mory,Medium,1/12/2004
10223,49,100,3,9774.03,Shipped,1,2,2004,Motorcycles,193,S10_4698,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Large,2/20/2004
10237,39,100,9,7023.9,Shipped,2,4,2004,Motorcycles,193,S10_4698,Vitachrome Inc.,2125551500,2678 Kingston Rd.,Suite 101,NYC,NY,10022,USA,Unknown,Frick,Michael,Large,4/5/2004
10251,43,100,4,7078.23,Shipped,2,5,2004,Motorcycles,193,S10_4698,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,Not Provided,Newark,NJ,94019,USA,Unknown,Brown,William,Large,5/18/2004
10263,41,100,4,8336.94,Shipped,2,6,2004,Motorcycles,193,S10_4698,Gift Depot Inc.,2035552570,25593 South Bay Ln.,Not Provided,Bridgewater,CT,97562,USA,Unknown,King,Julie,Large,6/28/2004
10275,36,100,3,6901.92,Shipped,3,7,2004,Motorcycles,193,S10_4698,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",Not Provided,Nantes,CA,44000,France,EMEA,Labrune,Janine,Medium,7/23/2004
10285,27,100,8,5438.07,Shipped,3,8,2004,Motorcycles,193,S10_4698,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,Not Provided,Cambridge,MA,51247,USA,Unknown,Hernandez,Marta,Medium,8/27/2004
10299,29,100,11,6683.34,Shipped,3,9,2004,Motorcycles,193,S10_4698,"Toys of Finland, Co.",90-224 8555,Keskuskatu 45,Not Provided,Helsinki,CA,21240,Finland,EMEA,Karttunen,Matti,Medium,9/30/2004
10308,20,100,1,4570.4,Shipped,4,10,2004,Motorcycles,193,S10_4698,Mini Classics,9145554562,3758 North Pendale Street,Not Provided,White Plains,NY,24067,USA,Unknown,Frick,Steve,Medium,10/15/2004
10318,37,100,3,7667.14,Shipped,4,11,2004,Motorcycles,193,S10_4698,Diecast Classics Inc.,2155551555,7586 Pompton St.,Not Provided,Allentown,PA,70267,USA,Unknown,Yu,Kyung,Large,11/2/2004
10329,26,100,3,5868.2,Shipped,4,11,2004,Motorcycles,193,S10_4698,Land of Toys Inc.,2125557818,897 Long Airport Avenue,Not Provided,NYC,NY,10022,USA,Unknown,Yu,Kwai,Medium,11/15/2004
10339,39,76.67,3,2990.13,Shipped,4,11,2004,Motorcycles,193,S10_4698,"Tokyo Collectables, Ltd",+81 3 3584 0555,2-2-8 Roppongi,Not Provided,Minato-ku,Tokyo,106-0032,Japan,Japan,Shimamura,Akiko,Small,11/23/2004
10362,22,100,4,3664.1,Shipped,1,1,2005,Motorcycles,193,S10_4698,Technics Stores Inc.,6505556809,9408 Furth Circle,Not Provided,Burlingame,CA,94217,USA,Unknown,Hirano,Juri,Medium,1/5/2005
10374,22,100,1,3834.38,Shipped,1,2,2005,Motorcycles,193,S10_4698,"Australian Gift Network, Co",61-7-3844-6555,31 Duncan St. West End,Not Provided,South Brisbane,Queensland,4101,Australia,APAC,Calaghan,Tony,Medium,2/2/2005
10388,21,86.77,7,1822.17,Shipped,1,3,2005,Motorcycles,193,S10_4698,FunGiftIdeas.com,5085552555,1785 First Street,Not Provided,New Bedford,MA,50553,USA,Unknown,Benitez,Violeta,Small,3/3/2005
10403,66,100,9,11886.6,Shipped,2,4,2005,Motorcycles,193,S10_4698,"UK Collectables, Ltd.",(171) 555-2282,Berkeley Gardens 12  Brewery,Not Provided,Liverpool,CA,WX1 6LT,UK,EMEA,Devon,Elizabeth,Large,4/8/2005
10417,56,100,4,9218.16,Disputed,2,5,2005,Motorcycles,193,S10_4698,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Not Provided,Madrid,CA,28034,Spain,EMEA,Freyre,Diego,Large,5/13/2005
10105,50,100,2,7208,Shipped,1,2,2003,Classic Cars,136,S10_4757,Danish Wholesale Imports,31 12 3555,Vinb'ltet 34,Not Provided,Kobenhavn,CA,1734,Denmark,EMEA,Petersen,Jytte,Large,2/11/2003
10119,46,100,11,5004.8,Shipped,2,4,2003,Classic Cars,136,S10_4757,Salzburg Collectables,6562-9555,Geislweg 14,Not Provided,Salzburg,CA,5020,Austria,EMEA,Pipps,Georg,Medium,4/28/2003
10129,33,100,2,4398.24,Shipped,2,6,2003,Classic Cars,136,S10_4757,"Stylish Desk Decors, Co.",(171) 555-0297,35 King George,Not Provided,London,CA,WX3 6FW,UK,EMEA,Brown,Ann,Medium,6/12/2003
10143,49,100,15,5597.76,Shipped,3,8,2003,Classic Cars,136,S10_4757,Mini Creations Ltd.,5085559555,4575 Hillside Dr.,Not Provided,New Bedford,MA,50553,USA,Unknown,Tam,Wing C,Medium,8/10/2003
10155,32,100,13,4526.08,Shipped,4,10,2003,Classic Cars,136,S10_4757,"Toys of Finland, Co.",90-224 8555,Keskuskatu 45,Not Provided,Helsinki,CA,21240,Finland,EMEA,Karttunen,Matti,Medium,10/6/2003
10167,44,100,9,5924.16,Cancelled,4,10,2003,Classic Cars,136,S10_4757,Scandinavian Gift Ideas,0695-34 6555,?kergatan 24,Not Provided,Boras,CA,S-844 67,Sweden,EMEA,Larsson,Maria,Medium,10/23/2003
10178,24,100,12,3492.48,Shipped,4,11,2003,Classic Cars,136,S10_4757,Alpha Cognac,61.77.6555,1 rue Alsace-Lorraine,Not Provided,Toulouse,CA,31000,France,EMEA,Roulet,Annette,Medium,11/8/2003
10186,26,100,9,3854.24,Shipped,4,11,2003,Classic Cars,136,S10_4757,"Double Decker Gift Stores, Ltd",(171) 555-7555,120 Hanover Sq.,Not Provided,London,CA,WA1 1DP,UK,EMEA,Hardy,Thomas,Medium,11/14/2003
10197,45,100,6,5324.4,Shipped,4,11,2003,Classic Cars,136,S10_4757,Enaco Distributors,(93) 203 4555,"Rambla de CataluÂ¤a, 23",Not Provided,Barcelona,CA,8022,Spain,EMEA,Saavedra,Eduardo,Medium,11/26/2003
